ach,com,dpa_descan,dpa_despar,dpa_despro,eac,fen,frm,nam,objectid,plz,rgm,sol,tipo_mineral,tmm,ttm
35,LA PLAYA,NABON,NABON,AZUAY,INSCRITA,1275022800000,EXPLORACION-EXPLOTACION,101608.1,72,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA   FELDESPATO, FUENLABRADA CIA. LTDA.
21,NUEVA COFRADIA,CUENCA,QUINGEO,AZUAY,INSCRITA,1274936400000,EXPLORACION-EXPLOTACION,101616,73,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
18,ESPARTA,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1273294800000,EXPLORACION-EXPLOTACION,101617,74,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA   FELDESPATO, COMPANIA DE INVESTIGACION Y EXPLOTACION MINERA EXPLOMINAS S.A.
71,SAN CARLOS 3,LA TRONCAL,LA TRONCAL,CAÑAR,INSCRITA,1269838800000,EXPLORACION-EXPLOTACION,101655,77,256,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,LLIVISACA LLIVISACA CARLOS HUGO
13,BIENVENIDA,GIRON,ASUNCION,AZUAY,INSCRITA,1274763600000,EXPLORACION-EXPLOTACION,101687,78,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,CASTRO PIEDRA JAIME ANTONIO
1334,MONOLOMA,CUENCA,MOLLETURO,AZUAY,INSCRITA,1274158800000,EXPLORACION-EXPLOTACION,101718,79,259,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO,CORONEL URGILES EDUARDO JOSE
117,OSA MAYOR,GIRON,GIRON,AZUAY,INSCRITA,1273122000000,EXPLORACION-EXPLOTACION,101722,80,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, FUENLABRADA CIA. LTDA.
6,CHAUCA II,AZOGUES,JAVIER LOYOLA (CHUQUIPATA),CAÑAR,INSCRITA,1000357200000,EXPLOTACION,101753,81,254,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARIDOS Y PETREOS,CORAIZACA PALTAN MARIA IGNACIA
17,HORMIGONES Y ASFALTOS,GUACHAPALA,GUACHAPALA,AZUAY,INSCRITA,1273122000000,EXPLOTACION,101761,82,257,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,CASTRO LEON FERNANDO EUGENIO
11,EL JACAL,CUENCA,SANTA ANA,AZUAY,INSCRITA,1001566800000,EXPLORACION INICIAL,101762,83,256,REGIMEN GENERAL,CONCESION MINERA,NO METALICO,ARCILLA,SINCHI SINCHI CLAUDIO MARCELO
3,MENDOZA,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1272258000000,EXPLORACION-EXPLOTACION,101772,85,255,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA, SOCIEDAD DE HECHO PROCESADORA DE MATERIALES PETREOS Y AGRICOLAS PROMAPET
20,PUCARA,PUCARA,PUCARA,AZUAY,INSCRITA,1275022800000,EXPLORACION-EXPLOTACION,101780,86,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, FUENLABRADA CIA. LTDA.
21,SAN JULIO,GUACHAPALA,GUACHAPALA,AZUAY,INSCRITA,1001394000000,EXPLOTACION,101786,87,0,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,MEDINA MENDEZ ELVIA LUZMILA
9,SICAY,CUENCA,LLACAO,AZUAY,INSCRITA,1276146000000,EXPLORACION-EXPLOTACION,101787,88,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA,VINTIMILLA MALO BERNARDO JOSE
48,GUALLABULLO,PAUTE,DUG DUG,AZUAY,INSCRITA,1275022800000,EXPLORACION-EXPLOTACION,101789,89,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO, HORMICRETO CIA. LTDA.
102,ITALIA,PUCARA,PUCARA,AZUAY,INSCRITA,1273208400000,EXPLORACION-EXPLOTACION,101795,90,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, COMPANIA DE INVESTIGACION Y EXPLOTACION MINERA EXPLOMINAS S.A.
